id;thinklab;date;country;city;region;likelyhood;text
32;Bangalore;05/30/2019 12:39 pm;;;;9;Innovative Concepts
33;Bangalore;09/21/2018 10:59 am;;;;9;Good experience, impressive demos
34;Bangalore;09/17/2018 05:15 pm;;;;10;Many idea for us
35;Bangalore;10/28/2017 12:35 am;India;Bangalore;19;7;Interesting demos with future possibilities
36;Bangalore;11/17/2017 08:34 am;India;Bangalore;19;10;Good experience
37;Bangalore;08/02/18 13:37;;;;10;It’s an experience on what the future can be
38;Bangalore;08/20/2018 11:17 am;;;;8;Core research on AI and blockchain
39;Bangalore;07/27/2018 11:03 am;;;;10;Excellent team
40;Beijing;06/12/19 13:45;;;;10;IBM Research have many very innovative core algorithm. The field of artificial intelligence is very extensive, and it is very specific and practical.Strategically, have a long view_
41;Beijing;02/26/2019 05:34 pm;;;;7;While I may not be interested in the career. I enjoyed learning more about the company.
42;Beijing;05/08/18 13:23;;;;7;the event is very meaningful and interesting. But the event organization can do better next time.
43;Beijing;02/26/2019 05:13 pm;;;;9;I am very impressed with how prepared the staff that welcomed us and the kind of innovation and role IBM plays in sharping the tech industry. Thank you so much.
44;Beijing;10/22/2018 02:10 pm;;;;10;"Share the latest cutting-edge knowledge.
Discuss the collaboration opportunities of leveraging IBM technologies.
Open communication and cross boundary communication."
45;Beijing;03/15/2019 11:41 am;;;;10;very pleasant exchange and learn a lots.
46;Beijing;12/14/2018 12:03 pm;;;;10;Very impressive
47;Beijing;06/12/19 13:37;;;;10;IBM Research innovation close to life
48;Beijing;02/27/2019 03:04 pm;;;;10;Leadership and leading edge
49;Beijing;12/14/2018 11:53 am;;;;9;lots of frontier science and technology in fundamental research.
50;Beijing;05/08/18 13:04;;;;10;Looking forward to the next event.
51;Beijing;05/08/18 13:29;;;;10;very interesting and meaningful
52;Beijing;05/16/2019 02:54 pm;;;;10;very interesting and novel
53;Beijing;03/05/19 17:43;;;;10;Technology capability and cooperation intention
54;Beijing;05/08/18 13:41;;;;8;Very interested in deep learning and we are also developing the similar works.
55;Beijing;10/22/2018 01:38 pm;;;;10;IBM Research is committed to future technological innovation to help solve major challenges in business and people's livelihood domain. Environmental protection domain expects all the collaborative innovation.
56;Beijing;10/22/2018 01:44 pm;;;;7;need to consider more industrial characteristics and show more reference cases
57;Beijing;12/14/2018 12:07 pm;;;;10;Research scope is very wide and can be delivered in the life.
58;Beijing;04/09/18 11:51;;;;10;"""1.Social Benefits:i.e. reducing pollution,enabling food tracing
2.Business_econormic Benefits -i.e. Auto Driving"""
59;Beijing;04/09/18 11:52;;;;10;fierce knowledge , combined with humility and sence of humor.
60;Beijing;04/09/18 11:50;;;;9;useful application
61;Beijing;05/08/18 13:30;;;;10;Because of IBM's outstanding work contribution
62;Beijing;05/16/2019 02:45 pm;;;;8;Hope to know more leading-edge technologies. All is well but hope speaker to explain in a simple language.
63;Beijing;05/16/2019 02:47 pm;;;;8;Leading-edge technologies, but it seems with less commercialization.
64;Beijing;02/21/2019 05:09 pm;;;;9;History, Innovation, Future
65;Beijing;02/21/2019 05:18 pm;;;;10;valuable
66;Beijing;10/22/2018 01:40 pm;;;;9;"1)	Promoting Knowledge: have more understanding about AI and blockchain
2)	IBM Research: Position as the driving force for industrial development
3)	The advanced thinking and methods of business applications
4)	The good facilities"
67;Beijing;10/22/2018 01:43 pm;;;;10;Leading the frontiers of science and technology.  It is very compact for the whole agenda.
68;Beijing;02/26/2019 05:29 pm;;;;7;very clear career path and does encourage students to learn and  research here.
69;Beijing;05/15/2019 05:51 pm;;;;8;Leading edge, some contents are too professional, will be recommended to specific suitable partners
70;Beijing;03/15/2019 11:39 am;;;;10;very valuable, very helpful and very enlightening.
71;Beijing;06/12/19 13:32;;;;8;Pazhou's focus are highly consistent with IBM Research China's research field.
72;Beijing;06/12/19 13:35;;;;10;Leading technologies
73;Beijing;02/21/2019 05:04 pm;;;;9;Innovation.
74;Beijing;02/21/2019 05:14 pm;;;;10;Found lots of technologies that can be considered to apply.
75;Beijing;02/21/2019 05:16 pm;;;;10;Research in various fields promotes social development and is worth learning.
76;Beijing;10/22/2018 01:47 pm;;;;10;"1)	IBM is a great company
2)	IBM have lots of leading technologies I am interested
3)	Hospitality and decent"
77;Beijing;04/09/18 16:26;;;;9;"""Data analysis advantage is obvious.The price advantage is unclear."""
78;Beijing;05/16/2019 03:11 pm;;;;10;responsible, enthusiastic and thoughtful
79;Beijing;05/16/2019 03:14 pm;;;;9;the collaboration points with IBM is not very clearly now.  IBM is very strong.
80;Beijing;10/22/2018 01:49 pm;;;;10;"I am deeply shocked by IBM century-old history.
The continuous exploration and pursuit of technology."
81;Beijing;02/27/2019 03:06 pm;;;;8;Thinklab is very strong. But we need to learn our requirements first.
82;Beijing;04/09/18 16:27;;;;8;Technology leadership, accord with the trend of  development.
83;Beijing;02/26/2019 04:09 pm;;;;10;Introduced clearly, succinctly and perfectly.
84;Beijing;02/26/2019 04:34 pm;;;;10;A lots of effect to put the personal and team growth, which helps to propel one's own career in the company.
85;Beijing;10/22/2018 02:00 pm;;;;10;"Professional. Interpretation and exploration of innovation.
The design of enterprise contents"
86;Beijing;02/21/2019 05:08 pm;;;;10;We learned  IBM, the future of technology and the magic of science and technology.
87;Beijing;03/05/19 17:45;;;;8;Communicate effectively because of hardware support
88;Beijing;03/05/19 17:46;;;;10;Environment
89;Beijing;03/05/19 17:49;;;;9;Perfect Technology and customer-centric process
90;Beijing;05/08/18 13:46;;;;10;very meaningful
91;Beijing;05/08/18 12:58;;;;10;1)Professional 2)Public mind 3)Organized well 4)Brand influence
92;Beijing;05/08/18 13:37;;;;8;these event is very good and hope to let more persons join this kind of event.
93;Beijing;10/22/2018 01:31 pm;;;;10;The AI technologies applied in many industries. The important direction is to increase the efficiency by AI. I am doing one platform that need the data and AI technologies.
94;Beijing;10/22/2018 01:32 pm;;;;8;IBM has a long history
95;Beijing;10/22/2018 01:37 pm;;;;10;Active thinking and help me open up horizons. The future of technology will have a huge impact on mankind.
96;Beijing;02/26/2019 05:24 pm;;;;9;IBM seems like a very open company with new ideas and tech. They have some innovative ideas and they are supportive of new approaches.
97;Beijing;02/26/2019 05:44 pm;;;;9;The research that IBM engage with was very impressive. The innovative ways in which IBM bridges the gap between research and practical implementation appealed to me very much.
98;Beijing;05/16/2019 03:01 pm;;;;10;The accumulation of IBM in AI domain is very useful to all internet companies.
99;Beijing;05/16/2019 03:03 pm;;;;7;Experience the strength of IBM company
100;Beijing;05/16/2019 02:58 pm;;;;8;Hope to let more start-ups know IBM to bring more opportunities and possibilities to the capital market and entrepreneur.
101;Beijing;05/15/2019 05:54 pm;;;;10;Professional, leading edge, dedicated.Be careful and enthusiastic to client.
102;Beijing;10/22/2018 01:36 pm;;;;7;I am interested in the AI and blockchain technologies.
103;Beijing;06/12/19 13:34;;;;8;Leading technology, strong company, rich application scenarios
104;Beijing;06/12/19 13:39;;;;8;Based on the present and looking into the future, have a brilliant future.
105;Beijing;10/22/2018 01:56 pm;;;;8;"The facility design and technology content is good. Especially the applications of AI.
Persistence and pursuit of technology."
106;Beijing;04/09/18 11:50;;;;9;Better understanding of IBM business and its upfront R&D directions
107;Beijing;04/09/18 11:51;;;;10;very helpful and insightful
108;Beijing;10/22/2018 01:33 pm;;;;8;Appreciate IBM Research’s presentation and demonstration on AI.  The leading IoT and AI technologies is the preferred recommendation.
109;Beijing;05/16/2019 03:19 pm;;;;10;learn more about the leading-edge technologies and applications in the commercial domains. That will be very useful for the future.Hope to increase research in fundamental science.
110;Beijing;05/08/18 13:28;;;;10;Thinklab devotes itself to AI and other innovation domains.  We university also  pay close attention to AI technologies. And we maybe consider to use Thinklab technologies in our project.
111;Beijing;05/08/18 13:40;;;;10;The event is very meaningful. My kid and I all like it. We learn more AI technologies and also learn more what IBM focus and achievements on AI technologies.
112;Beijing;10/22/2018 01:59 pm;;;;9;"Cutting-edge technology
Innovation culture
Outthink vision
Worth learning"
113;Beijing;10/22/2018 02:01 pm;;;;10;I am under the impact of the new technology. IBM can empower others.
114;Beijing;07/25/2019 06:23 pm;;;;8;"-impressive list of AI products and research with high potential to solve customers problems.
-with the  location in Asia and various locations globally, increase the chances to have further cooperation."
115;Beijing;05/16/2019 03:16 pm;;;;8;Content is solid, leading-edge, fruitful
116;Beijing;04/09/18 16:25;;;;9;Techniques  are feasible
117;Beijing;10/22/2018 01:30 pm;;;;10;Thinklab is with deep inside and many aspects of research in ThinkLab lead the world. ThinkLab triggers our thinking about the future development of our business field. IBM ThinkLab will boost the development of any domains.
118;Beijing;10/22/2018 01:49 pm;;;;10;"I am deeply shocked by IBM century-old history.
The continuous exploration and pursuit of technology."
119;Beijing;02/27/2019 02:59 pm;;;;10;Advanced and solid technology.
120;Beijing;05/16/2019 03:21 pm;;;;9;Technologies is leading-edge, trustworthy_brand power.
121;Beijing;12/20/2018 02:23 pm;;;;10;Provide full marks to IBM Science and Technology.
122;Beijing;02/26/2019 05:05 pm;;;;9;IBM is truly a leading company in the industry, innovating and supporting industry business and  partners through their goal and culture.
123;Beijing;07/25/2019 06:27 pm;;;;9;Very useful to update on new technologies as well as eyes opening. Very happy to learn new idea and application.
124;Beijing;04/09/18 11:42;;;;9;Brilliant talent, have tech into real input. Thanks for all your time
125;Beijing;02/26/2019 05:33 pm;;;;10;very  informational, relevant, great introduction to IBM.
126;Beijing;05/16/2019 02:52 pm;;;;10;Connect the leading-edge AI and cloud technologies with industries.
127;Beijing;02/21/2019 05:17 pm;;;;10;Received the new information.
128;Beijing;10/22/2018 01:45 pm;;;;10;"IBM brand advantage.
Prospective research on AI technology. Lead in blockchain."
129;Beijing;12/14/2018 11:55 am;;;;8;Many industries have unique technologies and are in the leading position in the industries.
130;Beijing;05/08/18 13:01;;;;10;IBM has the passions to let more persons love and experience new technologies.
131;Beijing;07/25/2019 06:29 pm;;;;9;This AI technology and others are very useful and helpful for us .
132;Beijing;04/24/2019 03:05 pm;;;;10;eye-opening, mind-boggling inspiring and very advanced in term of technological research direction for both practical application and care about earth and human future.
133;Beijing;05/08/18 13:44;;;;10;The explanation is very vivid. The robot(Xiaopang) is very cute __
134;Beijing;05/08/18 13:48;;;;10;My company is the supermap and we are interested in AI. Looking forward to collaboration with IBM.
135;Beijing;02/26/2019 04:41 pm;;;;10;effective use and development of talents, human capitals
136;Beijing;04/09/18 11:22;;;;10;Gathering the history of IBM was extremely interesting, and learning about the innovative directions the company is starting. The staff gave great presentation that were enjoyable and wonderful. Thank you
137;Beijing;04/09/18 11:40;;;;9;Subject expertise and innovative test create solutions. Targeting specific real world needs problems
138;Beijing;04/09/18 11:48;;;;10;IBM research THINKLab is motivated by solutions and innovation. this is authentic, and an importand change away from short-trem profit.
139;Beijing;04/09/18 11:49;;;;10;Amazing experiences help us understand the innovation culture of IBM and know what kind of sectors IBM dedicated in and applications IBM has.
140;Beijing;05/08/18 13:03;;;;10;the activities are very meaningful and the contents are very good.
141;Beijing;05/08/18 13:12;;;;10;It's excellent to spread the AI knowledge to the kids and inspire kids' learning interests.
142;Beijing;12/20/2018 02:28 pm;;;;10;IBM show professionalism and capabilities.  Very productive visit.
143;Beijing;12/14/2018 12:11 pm;;;;10;Deep culture of IBM, Powerful R&D capabilities, provide the new vision and future development roadmap outlook to us.
144;Beijing;10/22/2018 01:34 pm;;;;9;sustainable innovation, leading the technology development, experience more
145;Beijing;04/09/18 11:43;;;;10;well presented,relevant topics
146;Beijing;04/09/18 11:45;;;;10;Presenters are handsome and passionate,and enthuastic about what they do. We are learning a lot from the visit.
147;Beijing;10/22/2018 01:55 pm;;;;8;"1)	Professional, in depth
2)	Great AI applications for business direction"
148;Beijing;10/22/2018 01:57 pm;;;;8;"Large R & D investment.
Close integration with industry applications."
149;Beijing;10/22/2018 01:58 pm;;;;10;recommend to AI internal control group of Ping An Bank. IBM maybe can help this.
150;Beijing;10/22/2018 01:54 pm;;;;10;"IBM is great.
IBM AI technologies and applications are so great and advanced."
151;Beijing;10/22/2018 01:57 pm;;;;8;"Powerful technology
Huge investment
Difficult to land"
152;Beijing;10/22/2018 01:41 pm;;;;8;Suggest communicating more detailed industry collaboration opportunities based on visitor’s background. Suggest explaining with straightaway language instead of professional terms.
153;Beijing;10/22/2018 01:42 pm;;;;9;Rich and comprehensive content. One of topic is not very clear.
154;Beijing;10/22/2018 01:44 pm;;;;7;need to consider more industrial characteristics and show more reference cases
155;Beijing;02/27/2019 02:59 pm;;;;10;Professional and advanced.
156;Beijing;09/11/19 13:55;;;;10;The advantage of algorithm model
157;Beijing;02/27/2019 03:01 pm;;;;10;Professional, High-end
158;Beijing;05/16/2019 02:53 pm;;;;10;Potential collaboration in the future.
159;Beijing;05/16/2019 02:54 pm;;;;8;hope to learn IBM more deeply.
160;Beijing;05/08/18 13:35;;;;10;"interested contents, close to the frontier technology_

benefit to kids' enlightenment, suggest to group the kids by age to carry out activities"
161;Beijing;02/26/2019 05:17 pm;;;;9;IBM has developed advanced and cutting-edge products in many fields. Many research projects have the potential to dramatically change industries. Working with IBM should have a good chance to improve our products.
162;Beijing;05/16/2019 03:10 pm;;;;10;new vision and cognition with interest and interactive experience. professional knowledge sharing and application.
163;Beijing;04/09/18 11:49;;;;9;exciting content ,read world examples were good. Bome presentations could have been more engaging.
164;Beijing;05/16/2019 03:06 pm;;;;10;The company exists long time and accumulation is rich.  Leadership in many domains.
165;Beijing;10/22/2018 01:54 pm;;;;10;"Enterprise development cannot do without technology. 
The technologies seemed impossible now maybe change our life.
Thinking about the development of enterprises themselves in the new technologies environment"
166;Beijing;04/09/18 16:26;;;;8;Is worth to recommend
167;Beijing;01/17/2020 11:29 am;;;;10;Thanks for thinklab using the facilities for workshop and for the fantastic demo and briefing
168;Beijing;10/22/2018 02:09 pm;;;;9;Understanding future industries and driving future development. Hope to leverage IBM research results to apply them in the market.
169;Beijing;02/26/2019 05:10 pm;;;;9;Very interesting with many opportunities but unfortunately  not everyone is from a technical/computer science background.
170;Beijing;07/25/2019 06:43 pm;;;;9;very interesting. potential using in crucial area.
171;Dublin;09/16/2019 02:22 pm;;;;9;Impressive presentation about AI and IBM's research. Sufficient time allocated for questions. Cool presentation room.
172;Dublin;04/11/18 17:39;;;;10;Great explanations, with good use cases.
173;Dublin;12/03/18 17:27;;;;9;great review
174;Dublin;12/03/18 17:29;;;;10;great to cover a range of topics which was interesting for all levels of knowledge
175;Dublin;01/16/2018 04:38 pm;United Kingdom;Portsmouth;ENG;10;very interesting and informative. fantastic to meet dedicated experts who can explain anything.
176;Dublin;04/11/18 17:47;;;;10;veryinnovative and wonderful presentations, Very didactic presentation
177;Dublin;07/30/2019 05:06 pm;;;;9;very knowledgable presenters, great topics, very relatable& demystified
178;Dublin;11/13/2018 10:51 am;;;;10;changed my understanding of on digital update
179;Dublin;02/02/18 16:06;United Kingdom;Portsmouth;ENG;10;Very informative and interactive.I would like to get my team out for a similar session
180;Dublin;03/13/2018 05:47 pm;United Kingdom;Chiswick;ENG;10;The understanding of the application of technology is priceless. The insight and open discussion with IBM staff is also valuable fro users of any technology
181;Dublin;12/03/18 17:31;;;;10;variety of topics and energy invested in innovation
182;Dublin;05/17/2018 01:34 pm;;;;9;innovative ideas being worked on will be very useful in our product developmemt and conceptulization
183;Dublin;03/13/2018 05:38 pm;United Kingdom;Chiswick;ENG;8;Good overview and practical use cases. Could have been more FS specific.
184;Dublin;04/23/2019 04:41 pm;;;;9;interesting and opinion forming, good insight especially IBM Q
185;Dublin;04/23/2019 04:43 pm;;;;9;good introduction to AI.Especially like part of Quantum computing as an emerging technology
186;Dublin;04/23/2019 04:48 pm;;;;9;very interesting experience
187;Dublin;11/06/18 16:46;;;;9;The Right balance between theory and practice
188;Dublin;11/06/18 16:50;;;;10;Interactive session, respect for our knowledge level.
189;Dublin;10/08/18 16:42;;;;9;very inspiring interesting and up tp date
190;Dublin;11/13/2018 10:42 am;;;;10;willing to break down complex topics into a digestable/understandable format
191;Dublin;10/08/18 16:38;;;;8;such a complex range of topics. It woudl have been nice to delve further and have a more in depth explanation of some parts
192;Dublin;05/17/2018 01:19 pm;;;;9;presnetation was interactive and value add to the organization I represent. I got two great ideas that can be implemented to solve pain points for customers served by me
193;Dublin;03/13/2018 06:04 pm;United Kingdom;Chiswick;ENG;8;could have been improved with deeper dives on use cases.
194;Dublin;11/06/18 17:07;;;;7;Its interesting to discover new innovation but it has no link to my current function/job Product Manager Payments
195;Dublin;04/23/2019 04:27 pm;;;;9;eye opening session about emerging technologies and buzz words i didnt understand before
196;Dublin;09/17/2018 04:35 pm;;;;9;We can now identify future use cases in AI Quantum and Blockchain
197;Dublin;07/30/2019 05:08 pm;;;;9;good examples, interesting explanations
198;Dublin;01/16/2018 04:43 pm;United Kingdom;Portsmouth;ENG;10;Excellent, I believe in you, your competence and capabilities in the sector. And Nice people
199;Dublin;09/16/2019 10:48 am;;;;7;Made complex topics understandable by using user stories and real life examples without loosing the sense of looking into the future - great presentation
200;Dublin;11/13/2018 10:46 am;;;;9;Its an eye opener on the next thing thats coming up that will impact our business.
201;Dublin;07/20/2018 01:57 pm;;;;10;IBM Watson IOT's focus on positive change is the approach needed to safely usher the coming world of AI. The presenters did a gteat jow relating the material to us and we felt fully immersed.
202;Dublin;07/20/2018 01:57 pm;;;;10;Entertaining and engaging.
203;Dublin;02/02/18 16:11;United Kingdom;Portsmouth;ENG;10;We have been impresses with the amount of unexplored Solutions. Excellent facilitation
204;Dublin;03/13/2018 05:48 pm;United Kingdom;Chiswick;ENG;9;very insightful and very welcoming.Thank you for spending time with us
205;Dublin;02/27/2019 04:37 pm;;;;8;love to see more focus on payments
206;Dublin;02/27/2019 04:38 pm;;;;8;most relevant session was on Ai
207;Dublin;02/27/2019 04:48 pm;;;;8;interesting content - great delivery
208;Dublin;03/13/2018 06:10 pm;United Kingdom;Chiswick;ENG;8;Practical examples - very valuable and inspititive
209;Dublin;03/13/2018 05:45 pm;United Kingdom;Chiswick;ENG;9;Great insights into the importance of blockchain
210;Dublin;07/20/2018 02:02 pm;;;;9;I think that getting an in depth primer on the technologies that IBM is pioneering in order to change the world is necessary in order to understand the world of tomorrow. Pleas let me know about any east coast internships during summer 2019
211;Dublin;11/06/18 16:57;;;;8;Good practical explanation on topics. liked the examples and movies, they made it concrete.Nice to hear of the transformation IBM made in previous years
212;Dublin;11/06/18 17:00;;;;10;Very interesting topics and content
213;Dublin;04/23/2019 04:45 pm;;;;9;insightful listening to the mind of IBM researchers directly gives fresh and thought provoking insight
214;Dublin;09/17/2018 04:37 pm;;;;9;New insights into the possibiloties of blackchain. Broad appreciation of AI and the development of watson
215;Dublin;02/27/2019 05:17 pm;;;;8;IBM are clear leaders in this field. We should only target one topic and deep dive in an application type workshop
216;Dublin;09/16/2019 04:48 pm;;;;8;Seems like a very competent and visionary team
217;Dublin;10/08/18 16:40;;;;9;Very insightful information on several topical developments. Id like to probe some more industry examples.
218;Dublin;03/13/2018 05:52 pm;United Kingdom;Chiswick;ENG;9;I can see a lot of practical value in the technologies discussed.Watson is phenomenal and i like the opportunity to apply it in my business
219;Dublin;07/20/2018 01:54 pm;;;;10;Very accommodating fo questions, extremely fascinating subject matter, engaging presentations and use of technology presentation tools, aesthetically captivating
220;Dublin;09/17/2019 10:00 am;;;;8;Very interesting insights into new technologies, yet a little vague/to complex to see how to use these technologies in new businesses or disruption of present businesses.
221;Dublin;03/13/2018 05:58 pm;United Kingdom;Chiswick;ENG;9;Very helpful info on research.Woudl like more real life examples. A watson interface would be great ( means interact with watson)
222;Dublin;09/16/2019 11:24 am;;;;10;Gamechanging business insights delivered in an understandable way
223;Dublin;01/16/2018 04:46 pm;United Kingdom;Portsmouth;ENG;9;Really good introduction to the basics of BC the actors and key clients and what its all about
224;Dublin;09/16/2019 11:08 am;;;;8;Grown up tech - very professional!
225;Dublin;03/13/2018 05:55 pm;United Kingdom;Chiswick;ENG;10;An organization with a reputation capability and people to help support a business. Good case studies and presentations
226;Dublin;03/13/2018 05:49 pm;United Kingdom;Chiswick;ENG;8;Very informative session, on futuristic topics.
227;Dublin;04/23/2019 04:37 pm;;;;9;eye opening on what ibm does.clear speakers
228;Dublin;11/13/2018 10:39 am;;;;10;great session with a good level of insight shared. educational in nature of the topics discussed.
229;Dublin;11/13/2018 11:12 am;;;;8;It is due to excellent new trends and info provided. Direct examples compared to current statuses woudl be more helpful
230;Dublin;12/03/18 17:24;;;;8;very informative for my colleagues
231;Dublin;02/27/2019 04:40 pm;;;;10;complex concepts explained in a way that a non expert can understand and apply to a business application. Very interested in learnong more on AI and Q
232;Dublin;02/27/2019 04:50 pm;;;;8;Thought Provoking
233;Dublin;04/23/2019 04:34 pm;;;;9;please share more with which problems and opportunities Ai solves.
234;Dublin;04/23/2019 04:29 pm;;;;9;good speaker clear informastive views some insight in new technology with actual examples
235;Dublin;04/23/2019 04:36 pm;;;;8;up to date information and technology relevant to commercial banking
236;Dublin;05/17/2018 01:11 pm;;;;9;Clarity in presentation and ability to apply research to a business environment
237;Dublin;05/17/2018 01:12 pm;;;;10;Good learning experience. However please use cases in Africa for subsequent  <illegible
238;Dublin;05/17/2018 01:17 pm;;;;10;understand and touch an innovative approach
239;Dublin;11/13/2018 10:40 am;;;;10;Wish we had more time. IBM Q is very interesting
240;Dublin;11/13/2018 10:54 am;;;;9;A great exposition on new technologies
241;Dublin;11/13/2018 10:56 am;;;;9;very enlightening. exposed to new insights and technology
242;Dublin;04/11/18 17:52;;;;9;Very interesting
243;Dublin;07/20/2018 01:59 pm;;;;10;For those of us who are always thinking about the uncertainty of  future, it seems like IBM has a lot fo the answers.
244;Dublin;11/13/2018 11:07 am;;;;9;a really good to hear and see the new technology from IBM. Sometimes its hard to track without help
245;Dublin;09/16/2019 01:15 pm;;;;8;Very inspirering to listen to your approach to research. I think many people I know could benefint from it.
246;Dublin;11/06/18 16:49;;;;8;Interesting insights on innovative things like AI and Quantum although abstract clear enough to understand.Some practical examples of a starting point for us might help us to clarify
247;Dublin;04/11/18 17:40;;;;9;Very clear, Would like to hve spent some more time on quantum entanglement
248;Dublin;05/17/2018 01:14 pm;;;;9;really clear concise overview of the blockchain and chatbot state
249;Dublin;05/17/2018 01:25 pm;;;;9;relevant to our industry good reference cases Frustratingly short
250;Dublin;05/17/2018 01:31 pm;;;;9;great practical insight into a wide range of technologies. Would like to see more realtime examples
251;Dublin;05/17/2018 01:15 pm;;;;10;Great to see what IBM can do. Interactive research deomos were great. Great real life use cases insoiring and mototivating . what else can we do together.
252;Dublin;05/17/2018 01:23 pm;;;;9;fascinating insight to leading edge AI, Blockchain, applications. real world learning
253;Dublin;05/17/2018 01:29 pm;;;;9;Watson does offer numbers of usable oportunities for most comanies and business sectors.
254;Dublin;05/17/2018 01:36 pm;;;;9;great content could be enriched with more videos from real life examples, plus people are not usually trained on some subjects (blockchain) a video pn how it works could be fine. Future envisioning of the next big thing.
255;Dublin;05/17/2018 01:38 pm;;;;9;"Deep tought given to solving real world problems.simplified complex concepts.Osilama	Idokogi	United Bank of Africa (UBA)"
256;Dublin;11/06/18 16:53;;;;9;interesting way of looking at innovation for a technology perspective instead of customer view
257;Dublin;02/27/2019 04:34 pm;;;;8;V interesting, great thing to get some understanding of particularly quantum
258;Dublin;05/17/2018 01:27 pm;;;;9;clarity of thought. Emphasis on partnership and co creation. strong commercial knowledge
259;Dublin;05/17/2018 01:30 pm;;;;9;very good insight. Catered for different levels of knowledge
260;Dublin;02/27/2019 04:45 pm;;;;10;excellent, thoughtful, lots to think about
261;Dublin;12/03/18 17:15;;;;9;interesting presentation with real use cases and forward looking perspective
262;Dublin;11/13/2018 10:37 am;;;;10;clarify in detail on hot topics quantum math, Ai, blockchain
263;Dublin;03/13/2018 05:42 pm;United Kingdom;Chiswick;ENG;8;Lots of interesting use cases possibly coming up
